Year,Week,Team,Score,Opponent,Opponent_score,Score_margin,Outcome,Type,Top_scoring_week,Lowest_scoring_week
2019,6.0,Dylan,157.0,Alexander,88.0,69.0,Win,Regular,1,0
2019,6.0,Hayden,142.0,Matt,76.0,66.0,Win,Regular,0,0
2019,6.0,Evan,136.0,Gavin,101.0,35.0,Win,Regular,0,0
2019,6.0,Nate,118.0,Zachary,80.0,38.0,Win,Regular,0,0
2019,6.0,Cody,109.0,Luca,106.0,3.0,Win,Regular,0,0
2019,6.0,Luca,106.0,Cody,109.0,-3.0,Loss,Regular,0,0
2019,6.0,Gavin,101.0,Evan,136.0,-35.0,Loss,Regular,0,0
2019,6.0,Alexander,88.0,Dylan,157.0,-69.0,Loss,Regular,0,0
2019,6.0,Zachary,80.0,Nate,118.0,-38.0,Loss,Regular,0,0
2019,6.0,Matt,76.0,Hayden,142.0,-66.0,Loss,Regular,0,1
2019,7.0,Gavin,143.0,Dylan,90.0,53.0,Win,Regular,1,0
2019,7.0,Matt,135.0,Luca,100.0,35.0,Win,Regular,0,0
2019,7.0,Alexander,120.0,Zachary,106.0,14.0,Win,Regular,0,0
2019,7.0,Zachary,106.0,Alexander,120.0,-14.0,Loss,Regular,0,0
2019,7.0,Luca,100.0,Matt,135.0,-35.0,Loss,Regular,0,0
2019,7.0,Dylan,90.0,Gavin,143.0,-53.0,Loss,Regular,0,0
2019,7.0,Nate,84.0,Cody,82.0,2.0,Win,Regular,0,0
2019,7.0,Evan,83.0,Hayden,72.0,11.0,Win,Regular,0,0
2019,7.0,Cody,82.0,Nate,84.0,-2.0,Loss,Regular,0,0
2019,7.0,Hayden,72.0,Evan,83.0,-11.0,Loss,Regular,0,1
2019,8.0,Gavin,177.0,Zachary,176.0,1.0,Win,Regular,1,0
2019,8.0,Zachary,176.0,Gavin,177.0,-1.0,Loss,Regular,0,0
2019,8.0,Matt,171.0,Nate,109.0,62.0,Win,Regular,0,0
2019,8.0,Luca,134.0,Evan,107.0,27.0,Win,Regular,0,0
2019,8.0,Dylan,117.0,Hayden,107.0,10.0,Win,Regular,0,0
2019,8.0,Nate,109.0,Matt,171.0,-62.0,Loss,Regular,0,0
2019,8.0,Hayden,107.0,Dylan,117.0,-10.0,Loss,Regular,0,0
2019,8.0,Evan,107.0,Luca,134.0,-27.0,Loss,Regular,0,0
2019,8.0,Cody,96.0,Alexander,95.0,1.0,Win,Regular,0,0
2019,8.0,Alexander,95.0,Cody,96.0,-1.0,Loss,Regular,0,1
2019,9.0,Gavin,168.0,Matt,108.0,60.0,Win,Regular,1,0
2019,9.0,Alexander,128.0,Evan,78.0,50.0,Win,Regular,0,0
2019,9.0,Hayden,127.0,Cody,113.0,14.0,Win,Regular,0,0
2019,9.0,Zachary,122.0,Luca,89.0,33.0,Win,Regular,0,0
2019,9.0,Nate,116.0,Dylan,116.0,0.0,Tie,Regular,0,0
2019,9.0,Dylan,116.0,Nate,116.0,0.0,Tie,Regular,0,0
2019,9.0,Cody,113.0,Hayden,127.0,-14.0,Loss,Regular,0,0
2019,9.0,Matt,108.0,Gavin,168.0,-60.0,Loss,Regular,0,0
2019,9.0,Luca,89.0,Zachary,122.0,-33.0,Loss,Regular,0,0
2019,9.0,Evan,78.0,Alexander,128.0,-50.0,Loss,Regular,0,1
2019,10.0,Zachary,168.0,Nate,148.0,20.0,Win,Regular,1,0
2019,10.0,Nate,148.0,Zachary,168.0,-20.0,Loss,Regular,0,0
2019,10.0,Luca,140.0,Cody,133.0,7.0,Win,Regular,0,0
2019,10.0,Cody,133.0,Luca,140.0,-7.0,Loss,Regular,0,0
2019,10.0,Hayden,131.0,Matt,104.0,27.0,Win,Regular,0,0
2019,10.0,Dylan,119.0,Alexander,107.0,12.0,Win,Regular,0,0
2019,10.0,Gavin,107.0,Evan,79.0,28.0,Win,Regular,0,0
2019,10.0,Alexander,107.0,Dylan,119.0,-12.0,Loss,Regular,0,0
2019,10.0,Matt,104.0,Hayden,131.0,-27.0,Loss,Regular,0,0
2019,10.0,Evan,79.0,Gavin,107.0,-28.0,Loss,Regular,0,1
2019,11.0,Alexander,142.0,Zachary,115.0,27.0,Win,Regular,1,0
2019,11.0,Gavin,141.0,Dylan,98.0,43.0,Win,Regular,0,0
2019,11.0,Evan,127.0,Hayden,84.0,43.0,Win,Regular,0,0
2019,11.0,Zachary,115.0,Alexander,142.0,-27.0,Loss,Regular,0,0
2019,11.0,Matt,113.0,Luca,95.0,18.0,Win,Regular,0,0
2019,11.0,Dylan,98.0,Gavin,141.0,-43.0,Loss,Regular,0,0
2019,11.0,Luca,95.0,Matt,113.0,-18.0,Loss,Regular,0,0
2019,11.0,Hayden,84.0,Evan,127.0,-43.0,Loss,Regular,0,0
2019,11.0,Nate,82.0,Cody,77.0,5.0,Win,Regular,0,0
2019,11.0,Cody,77.0,Nate,82.0,-5.0,Loss,Regular,0,1
2019,12.0,Gavin,145.0,Zachary,102.0,43.0,Win,Regular,1,0
2019,12.0,Hayden,137.0,Dylan,122.0,15.0,Win,Regular,0,0
2019,12.0,Nate,124.0,Matt,76.0,48.0,Win,Regular,0,0
2019,12.0,Dylan,122.0,Hayden,137.0,-15.0,Loss,Regular,0,0
